NO,Course ID and Class,Department & Year Available,Course Name,Type,Timetable & Classroom,Instructor,113F,300300CollegeofEngineeringFreshmen,300300CollegeofEngineeringSophomore,302302,303303,304304,309309InternationalBachelorPrograminEngineering,310310InternationalBachelorPrograminElectricalandCommunicationEngineering,312312,313313,320320Post-BaccalaureateProgramforCarbonZeroSustainableDevelopmentPreparatoryOffice,322322,323323,325325,326326,329329GraduateSchoolofBiotechnologyandBioengineering,331331,332332,"530530MasterofBusinessAdministrationProgram,CollegeofManagement","531531MasterofScienceinFinanceandAccounting,CollegeofManagement","532532ExecutiveMasterofBusinessAdministrationProgram,CollegeofManagement","554554DoctoralProgram,CollegeofManagement",600600CollegeofHumanitiesandSocialSciencesFreshmen,601601,602602,603603,621621,622622,"623623MasterPrograminArtandDesignManagement,",624624,656656DoctorofPhilosophyinCulturalIndustriesandCulturalPolicy,700700CollegeofInformaticsSophomore,701701,702702,705705InternationalBachelorPrograminInformatics,721721,722722,724724,751751,800800CollegeofElectricalandCommunicationEngineeringFreshmen,901901GeneralEducationCenterFreshmen,901901GeneralEducationCenterSophomore,903903MilitaryEducationOfficeSophomore,904904PhysicalEducationOfficeFreshmen,904904PhysicalEducationOfficeSophomore,906906InternationalLanguageandCultureCenterFreshmen,A00A00CollegeofMedicineandNursingFreshmen,A11A11SchoolofNursing,113S,305305,311311,340340MasterofScienceDegreeofSmartManufacturingforElectronics,"505505BachelorofBusinessAdministrationProgram,CollegeofManagement",604604,"608608InternationalBachelorPrograminStrategicCommunication,CollegeofHumanitiesandSocialSciences",725725GraduatePrograminBiomedicalInformatics,903903MilitaryEducationOfficeFreshmen,906906InternationalLanguageandCultureCenterSenior,906906InternationalLanguageandCultureCenterSophomore,909909ExploringInterdisciplineFreshmen,909909ExploringInterdisciplineSenior,910910TaiwanArtificialIntelligenceCollegeAllianceFirstYear
1,EG003 A,"College of Engineering(Master Program) , First Year",基礎程式設計(一) (Syllabus) Fundamental Computer Programming(I),,"106 ,5002 107 ,5002",蔡介元(Chieh-Yuan Tsai),113F,300300CollegeofEngineeringFreshmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Selection message： For IE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For IE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--工管A，第三階段始開放本系重修生選課。","Selection message： For IE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For IE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--工管A，第三階段始開放本系重修生選課。","Selection message： For IE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For IE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--工管A，第三階段始開放本系重修生選課。","Selection message： For IE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For IE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--工管A，第三階段始開放本系重修生選課。","Selection message： For IE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For IE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--工管A，第三階段始開放本系重修生選課。","Selection message： For IE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For IE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--工管A，第三階段始開放本系重修生選課。",113F,300300CollegeofEngineeringFreshmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EG003 B,"College of Engineering(Master Program) , First Year",基礎程式設計(一) (Syllabus) Fundamental Computer Programming(I),,"108 ,5002 109 ,5002",蔡介元(Chieh-Yuan Tsai),113F,300300CollegeofEngineeringFreshmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"Selection message： For IE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For IE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--工管B，第三階段始開放本系重修生選課。","Selection message： For IE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For IE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--工管B，第三階段始開放本系重修生選課。","Selection message： For IE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For IE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--工管B，第三階段始開放本系重修生選課。","Selection message： For IE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For IE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--工管B，第三階段始開放本系重修生選課。","Selection message： For IE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For IE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--工管B，第三階段始開放本系重修生選課。","Selection message： For IE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For IE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--工管B，第三階段始開放本系重修生選課。",113F,300300CollegeofEngineeringFreshmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EG007 A,"College of Engineering(Master Program) , First Year",基礎程式設計(一) (Syllabus) Fundamental Computer Programming (I),,"409 ,60406 410 ,60406","李弘霖(Lee,Hung-Lin)、沈金清(SHEN,JIN-CHING)",113F,300300CollegeofEngineeringFreshmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"Selection message： For CE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For CE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--化材A，第三階段始開放選課。","Selection message： For CE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For CE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--化材A，第三階段始開放選課。","Selection message： For CE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For CE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--化材A，第三階段始開放選課。","Selection message： For CE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For CE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--化材A，第三階段始開放選課。","Selection message： For CE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For CE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--化材A，第三階段始開放選課。","Selection message： For CE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For CE freshmen A class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--化材A，第三階段始開放選課。",113F,300300CollegeofEngineeringFreshmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EG007 B,"College of Engineering(Master Program) , First Year",基礎程式設計(一) (Syllabus) Fundamental Computer Programming (I),,"407 ,60406 408 ,60406","李弘霖(Lee,Hung-Lin)、沈金清(SHEN,JIN-CHING)",113F,300300CollegeofEngineeringFreshmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"Selection message： For CE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For CE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--化材B，第三階段始開放選課。","Selection message： For CE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For CE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--化材B，第三階段始開放選課。","Selection message： For CE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For CE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--化材B，第三階段始開放選課。","Selection message： For CE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For CE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--化材B，第三階段始開放選課。","Selection message： For CE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For CE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--化材B，第三階段始開放選課。","Selection message： For CE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】For CE freshmen B class only; sophomore,junior and senior students need to register in THIRD phase of course registration; all students who have to retake the course must register online within the time frame 【check minimum enrollment】 大一配班--化材B，第三階段始開放選課。",113F,300300CollegeofEngineeringFreshmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,EG008 A,"College of Engineering(Master Program) , First Year",基礎程式設計(一) (Syllabus) Fundamental Computer Programming (I) *智慧製造學程,,"502 ,3105 503 ,3105",謝建興(Jiann-Shing Shieh),113F,300300CollegeofEngineeringFreshmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
