Program_and_Year,Course_Code,Section,Course_Title_CN,Course_Title_EN,Course_Type,Instructor_CN,Instructor_EN,Schedule_and_Credits_Raw
Department & Year Available,Course,ID and Class,Course Name,,Type,Instructor,,Timetable & Classroom
"College of Engineering(Master Program) , First Year",EG003,A,基礎程式設計(一),Fundamental Computer ProgrammingI,,蔡介元,Chieh-Yuan Tsai,"106 ,5002 107 ,5002"
"College of Engineering(Master Program) , First Year",EG003,B,基礎程式設計(一),Fundamental Computer ProgrammingI,,蔡介元,Chieh-Yuan Tsai,"108 ,5002 109 ,5002"
"College of Engineering(Master Program) , First Year",EG007,A,基礎程式設計(一),Fundamental Computer Programming I,,李弘霖,"Lee,Hung-Lin","409 ,60406 410 ,60406"
"College of Engineering(Master Program) , First Year",EG007,B,基礎程式設計(一),Fundamental Computer Programming I,,李弘霖,"Lee,Hung-Lin","407 ,60406 408 ,60406"
"College of Engineering(Master Program) , First Year",EG008,A,基礎程式設計(一),Fundamental Computer Programming I *智慧製造學程,,謝建興,Jiann-Shing Shieh,"502 ,3105 503 ,3105"
"College of Engineering(Master Program) , First Year",EG008,B,基礎程式設計(一),Fundamental Computer Programming I *智慧製造學程,,吳昌暉,Chang-Huei Wu,"207 ,3301 208 ,3301"
"College of Engineering(Master Program) , First Year",EG008,C,基礎程式設計(一),Fundamental Computer Programming I *Teaching in English *智慧製造學程,,謝建興,Jiann-Shing Shieh,"106 ,3212 107 ,3212"
"College of Engineering(Master Program), Second Year",EG201,A,智慧生產概論,Introduction to Intelligent Production *工業4.0－智慧生產學程 *智慧製造學程,Department Elective Courses,孫天龍,Tien-Lung Sun,"307 ,3208 308 ,3208 309 ,3208"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME105,A,微積分（一）,Calculus I,Department Compulsory Courses,江右君,Yu-Chun Chiang,"106 ,3208 107 ,3208 209 ,3208"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME105,B,微積分（一）,Calculus I,Department Compulsory Courses,江右君,Yu-Chun Chiang,"108 ,3208 109 ,3208 210 ,3208"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME119,A,工程圖學,Engineering Drawing,Department Compulsory Courses,沈家傑,Chia-Chieh Shen,"506 ,3301 507 ,3301 508 ,3301"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME119,B,工程圖學,Engineering Drawing,Department Compulsory Courses,李其源,Chi-Yuan Lee,"302 ,3301 303 ,3301 304 ,3301"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME123,A,基礎程式設計實驗（一）,Computer Programming Lab. I *智慧製造學程,Department Compulsory Courses,謝建興,Jiann-Shing Shieh,"504 ,3301"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME123,B,基礎程式設計實驗（一）,Computer Programming Lab. I *智慧製造學程,Department Compulsory Courses,吳昌暉,Chang-Huei Wu,"209 ,3301"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME125,A,工場實習（一）,Workshop Practice I,Department Compulsory Courses,李其源,Chi-Yuan Lee,"406 ,機械工場 407 ,機械工場 408 ,機械工場"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME125,B,工場實習（一）,Workshop Practice I,Department Compulsory Courses,李其源,Chi-Yuan Lee,"102 ,機械工場 103 ,機械工場 104 ,機械工場"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME127,A,機械工程概論,Introduction to Mechanical Engineering,Department Compulsory Courses,余念一,Niann-i Yu,"206 ,3208"
"Department of Mechanical Engineering(Undergraduate Program), Freshmen",ME128,A,應用力學-靜力,Applied Mechanics Statics,Department Compulsory Courses,余念一,Niann-i Yu,"207 ,3208 208 ,3208"
