Course_Code,Course_Name,Taught_in_English,Total_Sections,Sections
AD115,Design StudioI 人因工程與設計 另類DIY文創微學程,False,3,"A, B, C"
AD116,Design StudioII,False,3,"A, B, C"
AD117,Art StudioI,False,3,"A, B, C"
AD118,Art StudioII,False,3,"A, B, C"
AD149,Body Aesthetics,False,1,A
AD153,Drawing,False,1,A
AD249,Animation Theory and Practice,False,1,A
AD250,2D Computer Drawing Teaching in English,True,1,A
AD251,3D Computer Drawing Teaching in English,True,1,A
AD279,Contemporary Sketch,False,1,A
AI001,Probability and Statistics Teaching in Internet,False,1,A
AI002,AI Ethics Teaching in Internet,False,1,B
AM556,Exhibition and Curator,False,1,A
AM582,Art and Design Creation ExecutionI,False,1,A
AM584,Professional Practice Community Art Festival Curation and Execution,False,1,A
AM601,Taiwanese Art History,False,1,A
AM603,Visual Arts Administration,False,1,A
AM613,Research Methodology and Paper Writing,False,1,A
AM622,Contemporary Art,False,1,A
AM654,Museum development and current issues,False,1,A
AM656,Studies for Exhibition and Practice in Contemporary Visual Art,False,1,A
AM657,Art and Cultural Industry 創新產品開發學程 創新產品開發學程,False,1,A
AM660,Cultural Creativity and Placemaking,False,1,A3
BI519,Fermentation Engineering,False,1,A
BI522,Bioprocessing Engineering,False,1,A
BI531,Biostatistics,False,1,A
BI544,Molecular Genetics Teaching in English,True,1,A
BI546,Clinical Medicine,False,1,A
BI562,Exploring Biotechnology Teaching in English,True,1,A
BI565,Seminar,False,2,A
CB542,Data Mining and Its Applications in Biomedical Domains,False,1,A
CB545,Clinical Applications of Medical Signal and Image Teaching in English,True,1,A1
CB554,Seminar,False,1,A
CB582,Big Data Analytics,False,1,A
CB584,Operating Systems Teaching in English,True,1,A
CB585,Cryptography Teaching in English,True,1,A
CB586,Computer Networking Teaching in English,True,1,A
CB589,VLSI Testing & Design,False,1,A
CB594,Cybersecurity Teaching in English,True,1,A1
CB621,Special topics on statistical genomics,False,1,A
CC125,Reading Guidance,False,1,A
CC132,Introduction to Chinese Literature,False,1,A
CC377,Chinese Painting一,False,1,A
CC484,Brief Design Introduction and Application,False,1,A
CC487,Creative Writing of Modern Chinese Literature,False,2,"A, B"
CC489,Practical Guided Tour Interpretation,False,1,A
CC509,Special Topics in Classical Chinese Literature,False,1,A
CC523,Special Topics in Chinese Thoughts,False,1,A
CC532,Special Topics in Taiwan Literature,False,1,A
CC551,Special Topics Research on Modern Poems,False,1,A
CC553,Special Topics on the Interpretation of Confucian Canons,False,1,A
CC562,Special Topics on Chinese Culture,False,1,A
CC569,Research Methodology,False,1,A
CC570,Special Topics on Ethnic Languages and Culture,False,1,A
CH103,General Chemistry,False,2,"A, B"
CH105,General Chemistry & Analysis Laboratory,False,6,"A, B"
CH115,Computer ProgrammingI,False,2,"A, B"
CH125,Introduction to Chemical Engineering & Material Science,False,1,A
CH128,General PhysicsI,False,2,"A, B"
CH129,General PhysicsII,False,4,"A, B"
CH130,CalculusI,False,2,"A, B"
CH131,CalculusII,False,4,"A, B"
CH218,Transport Phenomena and Unit OperationsI Teaching in English 全校性跨領域--綠色能源學程,True,2,"A, B"
CH220,Material Science Teaching in English 全校性跨領域--材料科技學程,True,2,A
CH222,Introduction to Electronic Material 全校性跨領域--材料科技學程,False,1,A
CH226,Organic Chemistry & Materials Laboratory,False,2,"A, B"
CH227,Physical Chemistry & Materials Laboratory,False,2,"A, B"
CH229,Cell BiologyII 生技醫藥產業學程,False,1,A
CH231,Organic ChemistryII,False,2,"A, B"
CH233,Engineering MathematicsII,False,1,A
CH235,Physical ChemistryII Teaching in English,True,2,"A, B"
CH339,Polymerization 全校性跨領域--材料科技學程,False,1,A
CH345,Inorganic Chemistry,False,4,"A, B"
CH349,Industrial Microbiology 生技醫藥產業學程,False,1,A
CH448,Inorganic Materials 全校性跨領域--材料科技學程,False,1,A
CH502,Technical Writing Teaching in English,True,1,A
CH503,Advanced Chemical Engineering Kinetics Teaching in English,True,1,A
CH511,Design for Experimental,False,1,B
CH514,Advanced Chemical Engineering Thermodynamics Teaching in English,True,1,A
CH518,Environmental Systems Engineering Teaching in English,True,1,A
CH525,Advanced Instrumental Analysis Teaching in English 全校性跨領域--材料科技學程,True,1,A
CH526,Advanced Instrumental AnalysisII,False,1,B
CH527,Polymer Physics Teaching in English,True,1,A
CH534,Special Topics on Separations Technology Teaching in English,True,1,A
CH535,Special Topics on Controlled Drug Release Teaching in English 生技醫藥產業學程,True,1,A
CH537,Special Topics on Optoelectronic Materials,False,1,B
CH539,Special Topics on Electrochemistry Teaching in English 全校性跨領域--材料科技學程,True,1,A
CH566,Special Topics on Proton-exchange-membrane Fuel Cells Teaching in English 全校性跨領域--材料科技學程,True,1,A
CH568,Inorganic Nanomaterials,False,1,B
CH570,Technical Writing,False,1,B
CH577,Chemical Vapor Deposition,False,1,B
CH578,Catalyst Principles and Applications Teaching in English 全校性跨領域--材料科技學程,True,1,A
CH586,Environmental Biotechnology 生技醫藥產業學程,False,1,B
CH589,Special Topics on Organic Semiconductor Materials,False,1,B
CH599,Biomedical Engineering Teaching in English 生技醫藥產業學程,True,1,A
CH600,Physical Chemistry of Materials Teaching in English 全校性跨領域--材料科技學程,True,1,A
CH609,Regenerative Medicine Teaching in English,True,1,A
CH610,Cellular Signal Transduction Teaching in English,True,1,A
CH617,Physical Metallurgy Teaching in English 全校性跨領域--材料科技學程,True,1,A
CH620,Analysis of Materials properties Teaching in English,True,1,A
CH623,SeminarI Teaching in English,True,1,A
CH624,SeminarII,False,1,A
CH625,Introduction to Magnetic Materials Teaching in English 全校性跨領域--材料科技學程,True,1,A
CH701,Materials and Processing of Lithium Battery Teaching in English 全校性跨領域--材料科技學程,True,1,A
CI001,Fundamental Computer Programming- C++ LabI Teaching in English,True,1,D2
CI002,Fundamental Computer Programming- C++ LabII,True,4,"A1, A2, D1, D2"
CI004,Fundamental Computer Programming- Web Programming II,False,2,"C1, C2"
CI006,Fundamental Computer ProgrammingII,False,2,"B1, B2"
