Course_Name,Taught_in_English
2D Computer Drawing Teaching in English,True
3D Computer Animation,False
3D Computer Drawing Teaching in English,True
5G Network Function Virtualization: Introduction and Applications,False
A General Introduction to Volumtary Service 社會關懷與創意知能微學程,False
A Guide to Classics,False
A Guide to Classics Teaching in English,True
A Guide to Picture Storybooks,False
A brief introduction to European History Teaching in English,True
AI Ethics Teaching in Internet,False
Academic English : Listening & Speaking Teaching in English,True
Accounting,False
Accounting PrincipleII,False
Accounting PrincipleII Teaching in English,True
Accounting Seminar,False
Adaptive Signal Processing,False
Advance in Electric Circuits 智慧電網學程,False
Advanced Chemical Engineering Kinetics Teaching in English,True
Advanced Chemical Engineering Thermodynamics Teaching in English,True
Advanced Design and Implementation of Integrated Circuits Ⅱ,False
Advanced Design and Implementation of Integrated Circuits Ⅳ,False
Advanced EnglishI,False
Advanced Film and Video Production Workshop,False
Advanced High-Frequency Circuit Design,False
Advanced Instrumental Analysis Teaching in English 全校性跨領域--材料科技學程,True
Advanced Instrumental AnalysisII,False
Advanced Japanese I,False
Advanced Japanese Listening,False
Advanced Managerial Accounting,False
Advanced Mandarin Conversation,False
Advanced Mandarin Readings,False
Advanced Production Control,False
Advanced Project Management Teaching in English,True
Advanced Quality Control,False
Advanced Quality Control Teaching in English,True
Advanced Technologies in Energy and its Applications Teaching in English 全校性跨領域--綠色能源學程,True
Advanced to Electromagnetic Compatibility,False
Advenced of Digital Makers,False
Aesthetics,False
Aesthetics Teaching in English,True
Algorithms of Image Processing: Development and Applications Teaching in English,True
All-Out Defense Education and Researching of Military - All-Out Defense,False
All-Out Defense Education and Researching of Military - Defense Mobilization,False
All-Out Defense Education and Researching of Military - National Defense Policy,False
All-Out Defense Education and Researching of Military – Defense Technology,False
All-Out Defense Education and Researching of Military- International Situations,False
An Introduction to Japanese Culture 人文素養與多元創意微學程,False
Analysis and Best Practice to High-Tech Industry,False
Analysis for Social Media Services,False
Analysis of Materials properties Teaching in English,True
Anatomy,False
Animation Theory and Practice,False
Antenna Design and Characteristic Measurement,False
Antenna Theory,False
Applications of Online Resources to Teach English Teaching in English,True
Applied Mechanics Dynamics,False
Applied Mechanics Dynamics Teaching in English,True
Applied Mechanics Statics,False
Applied Mechanics Statics Teaching in English,True
Applied Project,False
Applied ProjectII,False
Appreciation of Landscape,False
Art & HumanityII 文創產業與管理微學程 文創產業與管理學程（人社院）,False
Art StudioI,False
Art StudioII,False
Art and Cultural Industry 創新產品開發學程 創新產品開發學程,False
Art and Design Creation ExecutionI,False
Artificial Intelligence Teaching in English 人工智慧與生物資訊微學程 人工智慧與生物資訊學程,True
Artificial Intelligence Teaching in English 智慧製造學程,True
Artificial Intelligence of Things 人工智慧與金融科技微學程 人工智慧與金融科技學程 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程 智慧校園與智慧照護學程,False
Artificial Intelligent in Enterprise Management,False
Assembly Language and Computer Organization 計算機軟硬系統設計與整合微學程 計算機軟硬系統設計與整合學程,False
Assiduity about Society 社會關懷與創意知能微學程,False
Automatic Control Teaching in English 工業4.0－智慧生產學程,True
Automatic Control 工業4.0－智慧生產學程,False
Automotive Engineering,False
Badminton,False
Basic Computer Concepts,False
Basic biomedical programming I 智慧校園與智慧照護學程,False
Basic biomedical programming II 智慧校園與智慧照護學程,False
Basketball,False
Behavioral Science Theories and Management Teaching in English,True
Big Data Analytics,False
Big Data Analytics Teaching in English,True
Big Data Analytics for Business Intelligence and Strategic Decisions,False
Big Data Analytics in Marketing,False
