Course_Code,Section,Course_Name_EN,Original_Course_Name,Teaching_in_English,Program_Year,Course_Type,Instructor_EN,Original_Index
Course,ID and Class,[Chinese] Course Name,[Chinese] Course Name,False,Department & Year Available,Type,,0
EG003,A,Fundamental Computer ProgrammingI,Fundamental Computer ProgrammingI,False,"College of Engineering(Master Program) , First Year",,Chieh-Yuan Tsai,1
EG003,B,Fundamental Computer ProgrammingI,Fundamental Computer ProgrammingI,False,"College of Engineering(Master Program) , First Year",,Chieh-Yuan Tsai,2
EG007,A,Fundamental Computer Programming I,Fundamental Computer Programming I,False,"College of Engineering(Master Program) , First Year",,"Lee,Hung-Lin",3
EG007,B,Fundamental Computer Programming I,Fundamental Computer Programming I,False,"College of Engineering(Master Program) , First Year",,"Lee,Hung-Lin",4
EG008,A,Fundamental Computer Programming I 智慧製造學程,Fundamental Computer Programming I *智慧製造學程,False,"College of Engineering(Master Program) , First Year",,Jiann-Shing Shieh,5
EG008,B,Fundamental Computer Programming I 智慧製造學程,Fundamental Computer Programming I *智慧製造學程,False,"College of Engineering(Master Program) , First Year",,Chang-Huei Wu,6
EG008,C,Fundamental Computer Programming I Teaching in English 智慧製造學程,Fundamental Computer Programming I *Teaching in English *智慧製造學程,True,"College of Engineering(Master Program) , First Year",,Jiann-Shing Shieh,7
EG201,A,Introduction to Intelligent Production 工業4.0－智慧生產學程 智慧製造學程,Introduction to Intelligent Production *工業4.0－智慧生產學程 *智慧製造學程,False,"College of Engineering(Master Program), Second Year",Department Elective Courses,Tien-Lung Sun,8
ME105,A,Calculus I,Calculus I,False,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Yu-Chun Chiang,9
ME105,B,Calculus I,Calculus I,False,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Yu-Chun Chiang,10
ME119,A,Engineering Drawing,Engineering Drawing,False,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Chia-Chieh Shen,11
ME119,B,Engineering Drawing,Engineering Drawing,False,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Chi-Yuan Lee,12
ME123,A,Computer Programming Lab. I 智慧製造學程,Computer Programming Lab. I *智慧製造學程,False,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Jiann-Shing Shieh,13
ME123,B,Computer Programming Lab. I 智慧製造學程,Computer Programming Lab. I *智慧製造學程,False,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Chang-Huei Wu,14
ME125,A,Workshop Practice I,Workshop Practice I,False,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Chi-Yuan Lee,15
ME125,B,Workshop Practice I,Workshop Practice I,False,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Chi-Yuan Lee,16
ME127,A,Introduction to Mechanical Engineering,Introduction to Mechanical Engineering,False,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Niann-i Yu,17
ME128,A,Applied Mechanics Statics,Applied Mechanics Statics,False,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Niann-i Yu,18
ME128,B,Applied Mechanics Statics Teaching in English,Applied Mechanics Statics *Teaching in English,True,"Department of Mechanical Engineering(Undergraduate Program), Freshmen",Department Compulsory Courses,Niann-i Yu,19
ME202,A,Engineering Mathematics I,Engineering Mathematics I,False,"Department of Mechanical Engineering(Undergraduate Program) , Sophomore",Department Compulsory Courses,Yur-Tsai Lin,20
