Course_Code,Course_Name,Taught_in_English,Total_Sections,Sections,Department
IN101,Calculus(I),True,1,A,International Bachelor Program in Informatics
IN102,Introduction to Computer Science,True,1,A,International Bachelor Program in Informatics
IN103,Computer Programming(I),True,1,A,International Bachelor Program in Informatics
IN104,Intellectual Property,True,1,A,International Bachelor Program in Informatics
IN111,English Listening and Reading (I),True,1,A,International Bachelor Program in Informatics
IN201,Linear Algebra,True,1,A,International Bachelor Program in Informatics
IN202,Data Structures,True,1,A,International Bachelor Program in Informatics
IN203,Introduction to Data Communications,True,1,A,International Bachelor Program in Informatics
IN204,Digital System Design,True,1,A,International Bachelor Program in Informatics
IN206,Web Programming,True,1,A,International Bachelor Program in Informatics
IN301,Introduction to Computer Networks,True,1,A,International Bachelor Program in Informatics
IN302,Introduction to Compiler,True,1,A,International Bachelor Program in Informatics
IN303,Embedded System Design and Practice,True,1,A,International Bachelor Program in Informatics
IN304,Service and Technology Management,True,1,A,International Bachelor Program in Informatics
IN309,Virtual Reality,True,1,A,International Bachelor Program in Informatics
IN311,English Presentation Skills,True,1,A,International Bachelor Program in Informatics
IN312,Introduction to Artificial Intelligence,True,1,A,International Bachelor Program in Informatics
IN315,Introduction to Big Data Analysis,True,1,A,International Bachelor Program in Informatics
IN317,Smart Manufacturing,True,1,A,International Bachelor Program in Informatics
IN320,Introduction to VLSI Design,True,1,A1,International Bachelor Program in Informatics
IN401,Introduction to Database System,True,1,A,International Bachelor Program in Informatics
IN403,Decision Support Systems,True,1,A,International Bachelor Program in Informatics
IN423,Practical Training (III),False,1,A,International Bachelor Program in Informatics
IN424,Practical Training (IV),False,1,A,International Bachelor Program in Informatics
IN431,Special Project (I),False,1,A,International Bachelor Program in Informatics
IN432,Special Project (II),False,1,A,International Bachelor Program in Informatics
CS106,Computer Programming(I),False,2,"A, B",Computer Science and Engineering
CS140,Introduction to Computer Science,True,2,"A, B",Computer Science and Engineering
CS147,Calculus(I),False,1,A,Computer Science and Engineering
CS152,General Physics,False,1,A,Computer Science and Engineering
CS153,Circuit Theory,False,1,A,Computer Science and Engineering
CS154,Introduction to Medical Engineering(I),False,1,A,Computer Science and Engineering
CS203,Data Structures,False,2,"A, B",Computer Science and Engineering
CS204,Digital System Design,False,2,"A, B",Computer Science and Engineering
CS206,Digital Systems Design and Practice,False,2,"A, B",Computer Science and Engineering
CS226,Probability and Statistics,False,1,A,Computer Science and Engineering
CS229,Introduction to Data Communications,False,1,A,Computer Science and Engineering
CS233,Linear Algebra,False,2,"A, B",Computer Science and Engineering
CS249,Windows Programming,False,1,A,Computer Science and Engineering
CS258,Introduction to Therapeutic Radiology,False,1,A,Computer Science and Engineering
CS261,Competitive Programming(II),False,1,A,Computer Science and Engineering
CS305,Introduction to Operating System,False,1,A,Computer Science and Engineering
CS311,Introduction to Computer Networks,False,1,A,Computer Science and Engineering
CS313,Introduction to Human-Computer Interaction Design,False,1,A,Computer Science and Engineering
CS321,Introduction to Compiler,True,2,"A, B",Computer Science and Engineering
CS322,Mobile Application Programming,False,1,A,Computer Science and Engineering
CS328,Next Generation Networking,True,1,A,Computer Science and Engineering
CS337,Cloud Computing and Services,False,1,A,Computer Science and Engineering
CS341,Introduction to Biology,False,1,A,Computer Science and Engineering
CS343,Special Projects of Innovative Big Data Applications,True,1,A,Computer Science and Engineering
CS349,Artificial Intelligence of Things,False,1,A,Computer Science and Engineering
CS352,Introduction to Database System,False,1,A,Computer Science and Engineering
CS354,Introduction to Computer and Network Security,False,1,A,Computer Science and Engineering
CS378,Introduction to VLSI Design,True,1,A1,Computer Science and Engineering
CS379,Embedded System Design and Practice,True,1,A,Computer Science and Engineering
CS380,Web Programming,False,2,"A, B",Computer Science and Engineering
CS383,Introduction to Medical Imaging(I),False,1,A,Computer Science and Engineering
CS400,Practical Training(I),False,1,A,Computer Science and Engineering
CS412,Data Mining,False,1,A,Computer Science and Engineering
CS415,Practical Training(II),False,1,A,Computer Science and Engineering
CS416,Special Project(I),False,1,A,Computer Science and Engineering
CS417,Special Project(II),False,3,"A, B, C",Computer Science and Engineering
CS423,Network Lab(I),False,1,A,Computer Science and Engineering
CS426,Practical Training(III),False,3,"A, B, C",Computer Science and Engineering
CS427,Practical Training(IV),False,3,"A, B, C",Computer Science and Engineering
CS429,Smart Manufacturing,True,1,A,Computer Science and Engineering
IM112,Basic Computer Concepts,False,2,"A, B",Information Management
IM119,Programming(I),False,2,"A, B",Information Management
IM120,Programming(II),False,1,C1,Information Management
IM122,Economics,False,1,A,Information Management
IM127,Calculus(I),False,1,A,Information Management
IM214,Fundamental of Data Structures,False,2,"A, B",Information Management
IM216,Discrete Mathematics,False,2,"A, B",Information Management
IM229,English for Information Technology,False,1,C,Information Management
IM231,Statistics(I),False,2,"A, C1",Information Management
IM236,Introduction to Data Analytics,False,1,C,Information Management
IM239,JAVA Programming,False,1,C,Information Management
IM241,Digital Marketing in Practice,False,1,C,Information Management
IM242,Introduction to Business Management,False,2,"A, B",Information Management
IM303,System Analysis and Design,False,2,"C, D",Information Management
IM313,Financial Management,False,1,A,Information Management
IM316,Management Science,False,2,"A, B",Information Management
IM323,Computer Networks,False,1,C,Information Management
IM332,Service and Technology Management,True,2,"A, B",Information Management
IM335,Introduction to Information Security,False,1,C,Information Management
IM337,MIS Professional Communication,False,1,C,Information Management
IM340,Big Data Management and Statistical Analysis,False,1,C,Information Management
IM349,Seminar on Vocational Training,False,1,A,Information Management
IM402,Decision Support Systems,True,2,"A, B",Information Management
IM407,Operating Systems,False,1,C,Information Management
IM408,Production and Operations Management,False,1,C,Information Management
IM409,Information and Law,False,1,C,Information Management
IM428,Vocational Training(II),False,3,"A, B, C",Information Management
IM445,Capstone for Application-Oriented Graduation Topic(II),False,3,"A, B, C",Information Management
IM446,Capstone for Academic Oriented Graduation Topic(II),False,2,"A, B",Information Management
IC116,Photography,False,1,A,Information Communication
IC145,Fundamentals of Arts(I): Drawing,False,1,A,Information Communication
IC151,Introduction to Design Principles,True,2,"A, B",Information Communication
IC172,Data Structure,False,1,A,Information Communication
IC175,Design History,False,1,A,Information Communication
IC181,Introduction to Computer Science,True,2,"A, B",Information Communication
IC184,Computer Programming(I),False,1,A,Information Communication
IC194,Principles of Animation,False,1,A,Information Communication
IC205,Computer Graphics Design,False,1,A,Information Communication
IC212,Computer Programming,False,1,A,Information Communication
IC224,General Physics,False,1,A,Information Communication
IC225,Interactive Script Production,False,1,A,Information Communication
IC238,Windows Programming,False,1,A,Information Communication
IC242,Game Planning,False,1,A,Information Communication
IC249,Case Study on Cultural Industries,False,1,A,Information Communication
IC286,Computer Programming Lab.(I),False,2,"A, B",Information Communication
IC291,Introduction of Human-Computer Interaction,False,2,"A, B",Information Communication
IC296,Creative Media Practice,False,1,A,Information Communication
IC335,3D Computer Graphics,True,2,"A, B",Information Communication
IC336,Computer Programming Lab.,False,1,A,Information Communication
IC337,3D Computer Animation,False,1,A,Information Communication
IC339,Narrative and Storytelling,False,1,A,Information Communication
IC344,Human Computer Interaction Application,True,1,A,Information Communication
IC346,Virtual Reality,True,1,A,Information Communication
IC348,Topics on ICT & Innovation,False,1,A,Information Communication
IC349,User-Interface Design,False,1,A,Information Communication
IC362,Intellectual Property,False,1,A,Information Communication
IC401,Internship (I),False,2,"A, B",Information Communication
IC412,Applied Mathematics,True,1,A,Information Communication
IC415,Video Marketing,False,1,A,Information Communication
IC416,Interactive Projection Design,False,1,A,Information Communication
IC454,Seminar on Information Communication(I),False,1,A,Information Communication
IC464,Field Study(I),False,2,"A, B",Information Communication
EN001,Fundamental Computer Programming- Python(I),False,1,A,College of Electrical and Communication Engineering
EN003,Fundamental Computer Programming-C,False,2,"A, B",College of Electrical and Communication Engineering
EN004,Fundamental Computer Programming- Python,True,3,"A, B, C",College of Electrical and Communication Engineering
EI101,Calculus(I),True,1,A,International Bachelor Program in Electrical and Communication Engineering
EI103,General Physics(I),True,2,"A, B",International Bachelor Program in Electrical and Communication Engineering
EI105,Introduction to Computer Science,True,1,A,International Bachelor Program in Electrical and Communication Engineering
EI109,Programming Language Labs(I),True,1,A,International Bachelor Program in Electrical and Communication Engineering
EI111,Science and Technology English Conversation,True,1,A,International Bachelor Program in Electrical and Communication Engineering
EI115,Linear Algebra,True,1,A,International Bachelor Program in Electrical and Communication Engineering
EI201,Electronics(I),True,1,A,International Bachelor Program in Electrical and Communication Engineering
EI203,Engineering Mathematics(I),True,1,A,International Bachelor Program in Electrical and Communication Engineering
EI205,Circuit Theory,True,1,A,International Bachelor Program in Electrical and Communication Engineering
EI207,Electronic Circuits Experiments(I),True,1,A,International Bachelor Program in Electrical and Communication Engineering
EI209,Science and Technology English Writing,True,1,A,International Bachelor Program in Electrical and Communication Engineering
EI211,Probability for Engineers,False,2,"A, B",International Bachelor Program in Electrical and Communication Engineering
EI218,Discrete Mathematics,True,1,A,International Bachelor Program in Electrical and Communication Engineering
EI219,Data Structures,True,1,C,International Bachelor Program in Electrical and Communication Engineering
EI221,Innovations in Medical High-Tech Applications,True,1,A,International Bachelor Program in Electrical and Communication Engineering
EI223,Control Systems,True,1,A,International Bachelor Program in Electrical and Communication Engineering
EI224,Introduction to Multimedia Communications,True,1,A,International Bachelor Program in Electrical and Communication Engineering
